model,register,rarity,layer,auroc,ci_lo,ci_hi,n
gemma-3-4b-it,patient,common,9,0.6499939620818742,0.6283766453326893,0.6715762589059293,910.0
gemma-3-4b-it,patient,rare,9,0.6516620498614959,0.5678324099722992,0.7403047091412742,76.0
gemma-3-4b-it,clinical_note,common,9,0.5367129573722981,0.5154779615988407,0.5571194300205289,910.0
gemma-3-4b-it,clinical_note,rare,9,0.5637119113573408,0.495775623268698,0.6281336565096953,76.0
gemma-3-4b-it,colloquial,common,9,0.5623088998913175,0.540588576258906,0.5865496920661756,910.0
gemma-3-4b-it,colloquial,rare,9,0.6052631578947368,0.5290858725761773,0.68422783933518,76.0
gemma-3-4b-it,textbook,common,11,0.7188773200543233,0.6509676324128566,0.7785196921684019,188.0
gemma-3-4b-it,textbook,rare,11,0.6875,0.25,1.0,8.0
gemma-3-4b-it,patient,common,11,0.7149619611158072,0.6909526023427123,0.7373272551624199,910.0
gemma-3-4b-it,patient,rare,11,0.731994459833795,0.6440096952908587,0.8164819944598337,76.0
gemma-3-4b-it,clinical_note,common,11,0.5518125830213743,0.5286605482429658,0.573381717183915,910.0
gemma-3-4b-it,clinical_note,rare,11,0.5734072022160664,0.4791897506925207,0.6558171745152355,76.0
gemma-3-4b-it,colloquial,common,11,0.6098925250573602,0.5833322062552833,0.6366987078855211,910.0
gemma-3-4b-it,colloquial,rare,11,0.6752077562326871,0.5872403047091412,0.7590547091412743,76.0
gemma-3-4b-it,textbook,common,13,0.7255545495699413,0.6585502489814395,0.7869114984155726,188.0
gemma-3-4b-it,textbook,rare,13,0.625,0.25,1.0,8.0
gemma-3-4b-it,patient,common,13,0.7107064364207222,0.6853952421205167,0.7334687839632895,910.0
gemma-3-4b-it,patient,rare,13,0.6842105263157894,0.6017832409972299,0.7666204986149584,76.0
gemma-3-4b-it,clinical_note,common,13,0.525178118584712,0.5045257819103972,0.5477159763313609,910.0
gemma-3-4b-it,clinical_note,rare,13,0.5505540166204985,0.4681440443213296,0.6247229916897507,76.0
gemma-3-4b-it,colloquial,common,13,0.6292766574085257,0.6035517449583383,0.6531651974399227,910.0
gemma-3-4b-it,colloquial,rare,13,0.6662049861495845,0.5671398891966759,0.7625,76.0
gemma-3-4b-it,textbook,common,15,0.7073336351290177,0.642357967406066,0.7674315301041196,188.0
gemma-3-4b-it,textbook,rare,15,0.8125,0.75,1.0,8.0
gemma-3-4b-it,patient,common,15,0.6857384373867891,0.661741214829127,0.7112353580485449,910.0
gemma-3-4b-it,patient,rare,15,0.6703601108033241,0.5740477839335181,0.7680055401662049,76.0
gemma-3-4b-it,clinical_note,common,15,0.5769303224248279,0.5527920540997464,0.5991813790605,910.0
gemma-3-4b-it,clinical_note,rare,15,0.5955678670360111,0.4972299168975069,0.6897506925207756,76.0
gemma-3-4b-it,colloquial,common,15,0.591411665257819,0.5635291631445478,0.6185318198285231,910.0
gemma-3-4b-it,colloquial,rare,15,0.6412742382271469,0.5241516620498615,0.7576350415512466,76.0
gemma-3-4b-it,textbook,common,17,0.7189904934359438,0.6526680624717066,0.7790883884110458,188.0
gemma-3-4b-it,textbook,rare,17,0.875,0.75,1.0,8.0
gemma-3-4b-it,patient,common,17,0.6744064726482308,0.6484582779857504,0.700538582296824,910.0
gemma-3-4b-it,patient,rare,17,0.7042936288088643,0.6094182825484765,0.7998961218836564,76.0
gemma-3-4b-it,clinical_note,common,17,0.6637217727327617,0.6396124864146843,0.6904271223282212,910.0
gemma-3-4b-it,clinical_note,rare,17,0.6745152354570636,0.5893178670360111,0.7694078947368421,76.0
gemma-3-4b-it,colloquial,common,17,0.6714647989373265,0.6424433039487984,0.6992637362637363,910.0
gemma-3-4b-it,colloquial,rare,17,0.6952908587257618,0.5927804709141276,0.8054362880886425,76.0
gemma-3-4b-it,textbook,common,19,0.7309868718877319,0.6577297419646899,0.7921061566319602,188.0
gemma-3-4b-it,textbook,rare,19,0.75,0.6875,1.0,8.0
gemma-3-4b-it,patient,common,19,0.7024320734210845,0.6774683009298395,0.7279176427967636,910.0
gemma-3-4b-it,patient,rare,19,0.7029085872576177,0.6204813019390581,0.7985630193905817,76.0
gemma-3-4b-it,clinical_note,common,19,0.62320009660669,0.5963995894215675,0.6499827315541602,910.0
gemma-3-4b-it,clinical_note,rare,19,0.5969529085872576,0.49851108033241,0.7008829639889196,76.0
gemma-3-4b-it,colloquial,common,19,0.6706533027412149,0.6431607293805096,0.6997354184277261,910.0
gemma-3-4b-it,colloquial,rare,19,0.6925207756232686,0.5900103878116344,0.7930747922437672,76.0
gemma-3-4b-it,textbook,common,21,0.7049569941149842,0.6294448845631507,0.7735457220461747,188.0
gemma-3-4b-it,textbook,rare,21,0.8125,0.75,1.0,8.0
gemma-3-4b-it,patient,common,21,0.6955874894336433,0.6690386426760053,0.7215973916193696,910.0
gemma-3-4b-it,patient,rare,21,0.7527700831024932,0.6682652354570637,0.8393351800554016,76.0
gemma-3-4b-it,clinical_note,common,21,0.6375027170631568,0.6136441251056636,0.6624818258664412,910.0
gemma-3-4b-it,clinical_note,rare,21,0.6191135734072022,0.528393351800554,0.7133137119113574,76.0
gemma-3-4b-it,colloquial,common,21,0.6396618765849534,0.6127410940707645,0.6655425673227872,910.0
gemma-3-4b-it,colloquial,rare,21,0.7555401662049861,0.6675380886426593,0.8462603878116344,76.0
gemma-3-4b-it,textbook,common,23,0.7424173834314168,0.6731552738795835,0.8060462879130829,188.0
gemma-3-4b-it,textbook,rare,23,0.8125,0.75,1.0,8.0
gemma-3-4b-it,patient,common,23,0.6631083202511775,0.6370823572032364,0.6919721048182587,910.0
